,Gender,Age,Attendance
6772,1,43,0.81
9561,1,55,0.89
559,0,47,0.82
2909,0,68,0.96
2781,0,11,0.39
8581,1,49,0.69
517,0,71,0.74
7414,1,40,0.64
3404,1,57,0.9
6326,1,41,0.72
9846,1,39,0.86
4448,1,45,0.62
6576,0,69,0.87
2918,0,58,0.54
4765,1,58,0.7
9377,0,62,0.85
7317,0,68,0.72
711,0,57,0.88
7417,0,45,0.76
8305,1,25,0.54
9137,1,31,0.71
8333,0,72,0.54
273,0,56,0.43
4627,1,25,0.66
7380,0,29,0.74
116,0,49,0.78
2361,0,53,0.91
3632,1,61,0.72
2083,1,68,0.64
1919,1,38,0.91
4521,1,52,0.6
5332,1,44,0.72
5930,0,23,0.68
4371,0,33,0.94
3854,1,16,0.86
2938,0,58,0.53
6646,1,76,0.92
7541,0,24,0.85
847,0,32,0.6
3473,1,31,0.75
6322,0,60,0.76
3989,1,41,0.91
7465,0,45,0.93
3028,0,69,0.89
3187,1,65,0.49
1635,1,47,0.89
7314,0,30,0.61
3375,0,57,0.52
6468,1,31,0.87
5329,0,57,0.93
411,1,46,0.91
9781,0,49,0.88
8397,1,72,0.87
4804,1,38,0.7
456,1,55,0.42
8745,0,52,0.74
6995,1,54,0.82
7304,0,74,0.77
4311,0,72,0.77
8978,0,58,0.89
7849,1,35,0.74
3485,0,78,0.75
6339,0,56,0.55
1413,1,35,0.62
2056,1,54,0.49
4036,0,66,0.67
8493,0,24,0.66
4177,0,68,0.6
2889,1,59,0.93
5705,1,73,0.8
5245,1,62,0.82
599,0,68,0.65
2223,0,57,0.38
1829,0,46,0.82
9600,0,47,0.61
7340,1,44,0.49
7602,0,85,0.64
5143,1,86,0.83
8029,0,45,0.64
7806,1,31,0.83
8112,1,45,0.79
9166,0,61,0.39
2520,1,50,0.67
3418,1,51,0.86
2419,1,51,0.82
2174,0,77,0.79
6530,1,50,0.82
3601,0,33,0.69
6260,1,35,0.92
9007,0,57,0.79
823,0,47,0.69
157,1,29,0.89
2729,1,48,0.88
3611,1,46,0.45
7963,1,55,0.68
7308,0,46,0.94
6569,0,29,0.6
5597,1,64,0.8
7536,0,57,0.78
6969,1,39,0.86
7879,0,59,0.85
5857,1,49,0.95
9747,0,28,0.94
9807,0,77,0.67
2529,0,50,0.7
3380,0,49,0.53
9568,1,46,0.87
2815,1,40,0.94
2505,0,32,0.45
9122,1,70,0.78
9087,0,74,0.65
1176,1,30,0.85
9613,0,58,0.27
2072,1,43,0.92
1066,0,47,0.92
326,1,42,0.82
8203,1,80,0.8
9645,0,57,0.89
2131,0,51,0.94
6246,0,66,0.77
8117,1,87,0.63
7320,0,59,0.7
9342,0,37,0.88
7948,1,46,0.97
9676,1,43,0.72
1830,1,35,0.94
6075,1,54,0.57
252,1,50,0.7
7471,0,59,0.51
6355,1,34,0.77
2698,0,30,0.63
3382,0,59,0.82
3671,0,43,0.64
755,1,43,0.88
3032,1,57,0.61
1550,1,48,0.71
2465,0,74,0.65
2079,0,51,0.72
101,1,72,0.79
1705,1,80,0.9
3126,1,51,0.89
3331,1,59,0.68
7266,0,81,0.89
9674,0,70,0.61
4732,0,59,0.87
3506,1,70,0.79
9456,1,57,0.84
8741,0,32,0.64
7437,0,38,0.93
8265,0,56,0.75
7756,0,37,0.92
3705,0,32,0.72
3840,1,60,0.72
1921,0,67,0.83
1077,0,42,0.7
2252,0,51,0.96
8261,0,48,0.68
6374,0,53,0.9
9406,1,58,0.52
6901,1,32,0.95
6259,1,45,0.76
8800,1,42,0.9
3188,0,38,0.46
9244,0,53,0.83
6255,0,64,0.75
8207,1,36,0.97
3727,1,55,0.86
5080,1,51,0.53
7056,1,32,0.76
1382,1,43,0.89
3407,0,68,0.8
8814,0,55,0.75
8070,0,34,0.63
2271,0,59,0.95
3023,0,35,0.82
6249,1,69,0.82
2195,0,44,0.49
7580,1,41,0.84
543,0,21,0.85
2704,1,65,0.73
1586,1,40,0.92
2961,1,26,0.73
2919,0,49,0.52
2136,1,46,0.52
9858,0,53,0.82
9701,0,17,0.6
7209,1,62,0.76
854,0,62,0.68
8416,1,36,0.74
7776,0,35,0.69
3903,1,77,0.71
4517,0,71,0.47
1809,0,56,0.53
1761,1,47,0.91
2836,1,57,0.61
8242,1,12,0.92
1736,1,34,0.45
842,1,45,0.49
2600,0,20,0.65
8299,0,53,0.84
4514,0,75,0.57
8951,1,31,0.48
4737,1,63,0.78
7477,1,38,0.8
3922,0,69,0.56
2198,0,48,0.73
2249,1,18,0.84
1789,0,50,0.53
6704,0,48,0.75
8883,1,47,0.88
850,0,39,0.78
6673,0,66,0.67
9596,1,56,0.66
7347,1,61,0.88
2871,1,73,0.95
8614,0,39,0.57
5966,1,61,0.8
4586,1,41,0.79
7170,0,50,0.66
724,1,66,0.84
366,0,37,0.84
8244,0,48,0.86
3847,1,40,0.94
4883,0,55,0.39
8894,0,43,0.61
6443,1,48,0.93
5290,1,59,0.59
7857,1,77,0.72
2341,0,57,0.71
5468,1,91,0.91
203,0,42,0.53
8749,0,64,0.92
7107,1,47,0.67
7224,0,50,0.49
5855,0,40,0.57
5669,0,63,0.75
5661,1,72,0.8
9623,0,36,0.3
8916,1,47,0.9
3027,1,34,0.88
7026,0,59,0.6
8050,0,44,0.63
5570,1,63,0.46
7582,1,68,0.86
5799,1,62,0.85
927,0,46,0.76
195,0,49,0.68
6406,1,74,0.66
1739,0,70,0.73
9246,0,64,0.86
9579,1,53,0.76
6077,0,34,0.38
1310,0,63,0.76
2726,1,5,0.75
5307,1,43,0.71
8921,1,45,0.72
3571,1,32,0.82
1751,0,49,0.63
5476,1,48,0.86
8915,1,32,0.69
3815,1,66,0.96
4793,1,62,0.74
1827,0,70,0.74
1654,1,75,0.94
8357,1,55,0.83
8863,0,56,0.8
6598,0,33,0.61
4995,1,26,0.88
3729,1,53,0.71
1420,0,38,0.81
1316,1,32,0.31
6287,0,67,0.63
4015,0,57,0.81
4437,1,45,0.48
3597,0,47,0.8
9082,1,56,0.94
5869,0,46,0.8
6218,0,48,0.57
6444,1,61,0.74
3167,1,78,0.89
7435,1,32,0.67
2645,0,34,0.91
791,0,66,0.72
2233,1,49,0.48
7655,1,37,0.74
4302,1,7,0.64
2316,1,60,0.67
3984,0,35,0.71
1381,1,56,0.66
8040,0,48,0.66
4200,0,48,0.87
8429,1,56,0.89
4146,0,49,0.75
6633,1,45,0.68
5722,0,45,0.82
1657,1,68,0.93
7782,1,83,0.9
6270,0,64,0.67
9366,0,51,0.69
9589,0,71,0.77
3304,0,47,0.77
4485,1,36,0.97
1701,1,40,0.83
6491,0,65,0.91
470,0,71,0.78
9415,0,63,0.68
2120,0,72,0.9
2379,1,58,0.89
1577,1,29,0.83
2827,1,34,0.92
1248,0,70,0.78
3290,1,64,0.62
1638,0,42,0.87
7941,1,55,0.91
250,1,59,0.76
8212,1,52,0.78
3368,0,61,0.61
8199,0,51,0.62
6116,0,65,0.54
7953,1,51,0.87
6435,0,75,0.46
5361,0,58,0.91
5388,1,63,0.81
9069,1,52,0.58
8845,1,59,0.45
1954,1,60,0.86
1394,1,44,0.81
1869,0,73,0.82
2164,1,45,0.9
9706,0,74,0.67
1477,1,37,0.91
727,1,44,0.74
2608,0,62,0.77
7652,0,38,0.86
376,0,49,0.74
4093,0,42,0.74
4591,0,38,0.89
2179,1,58,0.65
7345,0,71,0.67
4599,1,32,0.7
3271,1,74,0.66
3157,1,51,0.86
5437,0,86,0.97
5266,1,42,0.75
5873,1,56,0.76
8219,1,57,0.84
1793,1,39,0.39
5847,1,37,0.96
2089,1,90,0.55
4545,1,46,0.82
6830,1,37,0.73
134,1,32,0.85
6352,1,60,0.86
345,1,53,0.81
4117,1,47,0.75
9873,0,51,0.42
6783,1,30,0.88
7403,0,50,0.76
1111,0,47,0.75
5064,0,32,0.75
72,0,72,0.98
5766,1,45,0.65
1161,1,53,0.47
1692,1,34,0.88
4413,0,40,0.56
3342,0,30,0.54
2010,1,45,0.46
2589,0,52,0.79
6698,0,37,0.74
2434,1,60,0.7
3100,0,65,0.88
1421,1,51,0.8
8506,1,51,0.93
8640,0,48,0.78
8537,1,45,0.87
6021,1,56,0.77
3833,1,66,0.89
3812,0,34,0.68
5166,1,83,0.89
5326,0,18,0.72
6568,0,62,0.75
4072,0,28,0.77
3198,0,42,0.74
2695,1,21,0.73
9168,1,64,0.66
9547,1,57,0.59
438,1,57,0.9
2968,1,25,0.65
1932,1,46,0.65
5537,1,47,0.89
6217,1,20,0.72
7411,1,54,0.91
654,1,62,0.84
8181,1,24,0.59
5255,1,38,0.93
3975,0,51,0.65
6605,1,18,0.84
6185,1,63,0.78
7651,1,21,0.39
7587,0,42,0.68
7028,0,57,0.73
6847,1,51,0.87
2593,1,60,0.78
6214,1,43,0.43
6672,0,61,0.8
5600,1,52,0.83
5051,1,57,0.81
538,0,52,0.91
9571,1,58,0.94
5991,1,42,0.78
1604,0,65,0.86
8114,0,40,0.93
9301,0,55,0.65
6742,0,44,0.72
3285,1,76,0.68
3708,1,48,0.93
3295,0,46,0.75
8315,1,15,0.87
7513,0,48,0.93
6571,0,59,0.23
1566,0,36,0.83
9008,0,39,0.8
9277,1,43,0.98
9410,0,61,0.76
2916,1,36,0.79
8661,1,34,0.94
3498,1,57,0.81
987,1,47,0.83
9871,0,69,0.66
5397,1,45,0.65
8539,0,42,0.6
5518,1,48,0.96
4032,0,35,0.37
126,1,15,0.85
2256,0,62,0.75
3040,1,68,0.7
5623,1,33,0.72
9535,1,43,0.68
5260,0,48,0.9
9020,1,58,0.57
6984,0,55,0.47
5890,0,72,0.66
9525,0,50,0.92
4611,1,29,0.87
3225,0,56,0.37
8664,1,42,0.38
7191,0,51,0.63
1909,1,69,0.77
285,0,61,0.79
314,0,62,0.76
3327,0,53,0.78
1721,1,91,0.38
968,1,37,0.63
458,1,61,0.46
680,0,77,0.89
2479,0,47,0.52
977,1,46,0.87
1960,0,53,0.81
6992,1,71,0.71
3810,0,53,0.39
3798,0,73,0.78
1525,0,15,0.61
2723,1,58,0.65
7949,0,43,0.92
3612,0,53,0.59
6936,1,54,0.98
58,0,66,0.81
1681,0,44,0.65
5018,1,55,0.51
5369,1,83,0.43
3894,0,40,0.91
8092,0,51,0.57
862,0,74,0.87
9861,0,59,0.67
3831,1,59,0.85
779,1,87,0.57
3818,1,27,0.73
5386,0,44,0.73
7298,1,30,0.93
5219,1,36,0.77
8986,1,57,0.79
4116,1,30,0.93
2809,0,67,0.9
3836,1,13,0.65
1326,0,61,0.93
4719,0,45,0.49
3277,0,15,0.66
7357,1,50,0.36
6531,1,45,0.63
2634,0,25,0.81
4246,0,56,0.48
8398,0,50,0.73
9354,1,37,0.86
2478,1,51,0.7
6978,1,56,0.75
5712,0,29,0.82
8576,1,54,0.86
3577,1,35,0.71
3625,1,45,0.76
5898,0,62,0.67
1548,0,33,0.73
607,0,41,0.84
716,0,46,0.85
4405,1,35,0.88
364,1,62,0.81
8343,1,79,0.37
5733,0,38,0.92
2261,1,46,0.78
8654,0,55,0.83
1785,1,32,0.81
6087,0,52,0.74
6140,1,82,0.93
6737,1,63,0.76
2004,0,38,0.83
2067,1,58,0.67
3196,1,56,0.5
9345,1,19,0.92
5559,1,59,0.77
4140,1,71,0.61
870,1,40,0.69
419,0,26,0.55
3595,0,46,0.82
5977,0,46,0.6
6375,1,46,0.78
4076,1,8,0.77
1089,1,38,0.69
4445,1,38,0.85
7589,0,58,0.72
5189,1,69,0.84
1155,1,91,0.98
1794,1,65,0.78
7487,1,5,0.79
6434,0,13,0.8
2742,1,56,0.53
1828,1,33,0.76
5911,0,51,0.71
6891,1,26,0.47
6511,1,50,0.99
8695,1,45,0.81
2779,0,18,0.76
6416,1,37,0.93
4560,1,52,0.82
9780,1,26,0.87
6826,0,28,0.75
7529,0,41,0.82
7555,0,49,0.62
1503,0,20,0.38
5336,0,78,0.75
9544,0,56,0.6
1342,0,45,0.69
4783,1,67,0.73
6619,1,54,0.66
6033,1,49,0.79
2491,1,67,0.85
6327,0,63,0.82
8105,0,54,0.64
9496,1,53,0.48
8253,1,39,0.82
3354,1,77,0.72
8046,0,40,0.57
6442,0,34,0.84
9290,0,41,0.67
5002,1,48,0.65
3310,1,62,0.73
